size: 872, time: 0.016117 s, speed: 82.279692 GFlops
size: 876, time: 0.016147 s, speed: 83.263221 GFlops
size: 880, time: 0.014969 s, speed: 91.050434 GFlops
size: 884, time: 0.013688 s, speed: 100.935519 GFlops
size: 888, time: 0.016178 s, speed: 86.565919 GFlops
size: 892, time: 0.015783 s, speed: 89.935889 GFlops
size: 896, time: 0.017295 s, speed: 83.183345 GFlops
size: 900, time: 0.018360 s, speed: 79.411168 GFlops
size: 904, time: 0.019172 s, speed: 77.067084 GFlops
size: 908, time: 0.019497 s, speed: 76.792052 GFlops
size: 912, time: 0.019425 s, speed: 78.100781 GFlops
size: 916, time: 0.019723 s, speed: 77.937199 GFlops
size: 920, time: 0.019612 s, speed: 79.409042 GFlops
size: 924, time: 0.017871 s, speed: 88.286361 GFlops
size: 928, time: 0.019998 s, speed: 79.925574 GFlops
size: 932, time: 0.020390 s, speed: 79.407183 GFlops
size: 936, time: 0.018575 s, speed: 88.292587 GFlops
size: 940, time: 0.019319 s, speed: 85.987037 GFlops
size: 944, time: 0.019215 s, speed: 87.560566 GFlops
size: 948, time: 0.019523 s, speed: 87.279160 GFlops
size: 952, time: 0.019253 s, speed: 89.627665 GFlops
size: 956, time: 0.017106 s, speed: 102.153624 GFlops
size: 960, time: 0.015825 s, speed: 111.816426 GFlops
size: 964, time: 0.018971 s, speed: 94.442220 GFlops
size: 968, time: 0.019859 s, speed: 91.347579 GFlops
size: 972, time: 0.019599 s, speed: 93.712116 GFlops
size: 976, time: 0.018991 s, speed: 97.911063 GFlops
size: 980, time: 0.021585 s, speed: 87.208018 GFlops
size: 984, time: 0.020239 s, speed: 94.150749 GFlops
size: 988, time: 0.018513 s, speed: 104.188377 GFlops
size: 992, time: 0.018403 s, speed: 106.091540 GFlops
size: 996, time: 0.020382 s, speed: 96.952202 GFlops
size: 1000, time: 0.019868 s, speed: 100.664907 GFlops
size: 1004, time: 0.019435 s, speed: 104.147339 GFlops
size: 1008, time: 0.020193 s, speed: 101.441047 GFlops
size: 1012, time: 0.019744 s, speed: 104.987638 GFlops
size: 1016, time: 0.021136 s, speed: 99.240144 GFlops
size: 1020, time: 0.022224 s, speed: 95.501297 GFlops
size: 1024, time: 0.025363 s, speed: 84.670044 GFlops
size: 1028, time: 0.022169 s, speed: 98.007885 GFlops
size: 1032, time: 0.020777 s, speed: 105.800207 GFlops
size: 1036, time: 0.021566 s, speed: 103.119640 GFlops
size: 1040, time: 0.027818 s, speed: 80.872514 GFlops
size: 1044, time: 0.023284 s, speed: 97.739526 GFlops
size: 1048, time: 0.022848 s, speed: 100.755260 GFlops
size: 1052, time: 0.020955 s, speed: 111.120123 GFlops
size: 1056, time: 0.024162 s, speed: 97.473800 GFlops
size: 1060, time: 0.024849 s, speed: 95.860515 GFlops
size: 1064, time: 0.022222 s, speed: 108.411555 GFlops
size: 1068, time: 0.024751 s, speed: 98.435537 GFlops
size: 1072, time: 0.025335 s, speed: 97.250576 GFlops
size: 1076, time: 0.022285 s, speed: 111.803261 GFlops
size: 1080, time: 0.023603 s, speed: 106.740777 GFlops
size: 1084, time: 0.025003 s, speed: 101.888807 GFlops
size: 1088, time: 0.023517 s, speed: 109.530919 GFlops
size: 1092, time: 0.023448 s, speed: 111.068852 GFlops
size: 1096, time: 0.025006 s, speed: 105.297112 GFlops
size: 1100, time: 0.028475 s, speed: 93.485362 GFlops
size: 1104, time: 0.024838 s, speed: 108.348051 GFlops
size: 1108, time: 0.025560 s, speed: 106.436378 GFlops
size: 1112, time: 0.024836 s, speed: 110.729056 GFlops
size: 1116, time: 0.025135 s, speed: 110.597959 GFlops
size: 1120, time: 0.024185 s, speed: 116.182043 GFlops
size: 1124, time: 0.029052 s, speed: 97.758068 GFlops
size: 1128, time: 0.025850 s, speed: 111.044174 GFlops
size: 1132, time: 0.026058 s, speed: 111.334275 GFlops
size: 1136, time: 0.029197 s, speed: 100.421590 GFlops
size: 1140, time: 0.025129 s, speed: 117.914704 GFlops
size: 1144, time: 0.026872 s, speed: 111.431859 GFlops
