size: 952, time: 0.019517 s, speed: 88.415622 GFlops
size: 956, time: 0.020097 s, speed: 86.950497 GFlops
size: 960, time: 0.020701 s, speed: 85.476908 GFlops
size: 964, time: 0.018650 s, speed: 96.069722 GFlops
size: 968, time: 0.020445 s, speed: 88.729217 GFlops
size: 972, time: 0.019673 s, speed: 93.360045 GFlops
size: 976, time: 0.019859 s, speed: 93.632288 GFlops
size: 980, time: 0.019150 s, speed: 98.296719 GFlops
size: 984, time: 0.019532 s, speed: 97.558260 GFlops
size: 988, time: 0.019628 s, speed: 98.270625 GFlops
size: 992, time: 0.018816 s, speed: 103.761882 GFlops
size: 996, time: 0.019409 s, speed: 101.813687 GFlops
size: 1000, time: 0.020632 s, speed: 96.936663 GFlops
size: 1004, time: 0.020327 s, speed: 99.576280 GFlops
size: 1008, time: 0.019206 s, speed: 106.653129 GFlops
size: 1012, time: 0.019312 s, speed: 107.334925 GFlops
size: 1016, time: 0.019309 s, speed: 108.630143 GFlops
size: 1020, time: 0.019659 s, speed: 107.962621 GFlops
size: 1024, time: 0.022704 s, speed: 94.586612 GFlops
size: 1028, time: 0.189412 s, speed: 11.471008 GFlops
size: 1032, time: 0.115996 s, speed: 18.950755 GFlops
size: 1036, time: 0.009994 s, speed: 222.525084 GFlops
size: 1040, time: 0.011682 s, speed: 192.580170 GFlops
size: 1044, time: 0.012381 s, speed: 183.815207 GFlops
size: 1048, time: 0.011568 s, speed: 198.999945 GFlops
size: 1052, time: 0.011415 s, speed: 203.986356 GFlops
size: 1056, time: 0.112159 s, speed: 20.998466 GFlops
size: 1060, time: 0.009714 s, speed: 245.219212 GFlops
size: 1064, time: 0.011110 s, speed: 216.839395 GFlops
size: 1068, time: 0.010054 s, speed: 242.326024 GFlops
size: 1072, time: 0.010240 s, speed: 240.614170 GFlops
size: 1076, time: 0.013633 s, speed: 182.757399 GFlops
size: 1080, time: 0.010306 s, speed: 244.459022 GFlops
size: 1084, time: 0.012678 s, speed: 200.941782 GFlops
size: 1088, time: 0.013394 s, speed: 192.313739 GFlops
size: 1092, time: 0.014443 s, speed: 180.319579 GFlops
size: 1096, time: 0.012643 s, speed: 208.265012 GFlops
size: 1100, time: 0.011995 s, speed: 221.924375 GFlops
size: 1104, time: 0.013488 s, speed: 199.520678 GFlops
size: 1108, time: 0.013393 s, speed: 203.129889 GFlops
size: 1112, time: 0.012499 s, speed: 220.021855 GFlops
size: 1116, time: 0.014007 s, speed: 198.460743 GFlops
size: 1120, time: 0.013645 s, speed: 205.923090 GFlops
size: 1124, time: 0.014683 s, speed: 193.425571 GFlops
size: 1128, time: 0.012379 s, speed: 231.885798 GFlops
size: 1132, time: 0.015423 s, speed: 188.104309 GFlops
size: 1136, time: 0.014676 s, speed: 199.781148 GFlops
size: 1140, time: 0.014001 s, speed: 211.635649 GFlops
size: 1144, time: 0.011518 s, speed: 259.974610 GFlops
size: 1148, time: 0.014954 s, speed: 202.346486 GFlops
size: 1152, time: 0.012930 s, speed: 236.478530 GFlops
size: 1156, time: 0.012515 s, speed: 246.871117 GFlops
size: 1160, time: 0.015749 s, speed: 198.221883 GFlops
size: 1164, time: 0.015756 s, speed: 200.191644 GFlops
size: 1168, time: 0.014469 s, speed: 220.253470 GFlops
size: 1172, time: 0.012597 s, speed: 255.594217 GFlops
size: 1176, time: 0.016736 s, speed: 194.359461 GFlops
size: 1180, time: 0.015512 s, speed: 211.840266 GFlops
size: 1184, time: 0.012488 s, speed: 265.825167 GFlops
size: 1188, time: 0.015455 s, speed: 216.975199 GFlops
size: 1192, time: 0.016565 s, speed: 204.486719 GFlops
size: 1196, time: 0.014399 s, speed: 237.627575 GFlops
size: 1200, time: 0.013330 s, speed: 259.265152 GFlops
size: 1204, time: 0.017262 s, speed: 202.217528 GFlops
size: 1208, time: 0.017194 s, speed: 205.046826 GFlops
size: 1212, time: 0.016156 s, speed: 220.396724 GFlops
size: 1216, time: 0.013123 s, speed: 274.028933 GFlops
size: 1220, time: 0.017705 s, speed: 205.123041 GFlops
size: 1224, time: 0.017749 s, speed: 206.632495 GFlops
size: 1228, time: 0.017596 s, speed: 210.480073 GFlops
size: 1232, time: 0.016532 s, speed: 226.220482 GFlops
size: 1236, time: 0.017385 s, speed: 217.225379 GFlops
size: 1240, time: 0.016622 s, speed: 229.412071 GFlops
size: 1244, time: 0.015243 s, speed: 252.591752 GFlops
size: 1248, time: 0.016804 s, speed: 231.345789 GFlops
size: 1252, time: 0.017937 s, speed: 218.823775 GFlops
size: 1256, time: 0.018434 s, speed: 214.972954 GFlops
size: 1260, time: 0.016630 s, speed: 240.571885 GFlops
size: 1264, time: 0.015108 s, speed: 267.342482 GFlops
size: 1268, time: 0.017751 s, speed: 229.702361 GFlops
size: 1272, time: 0.017005 s, speed: 242.055828 GFlops
size: 1276, time: 0.016738 s, speed: 248.244746 GFlops
size: 1280, time: 0.016223 s, speed: 258.541327 GFlops
size: 1284, time: 0.014722 s, speed: 287.577592 GFlops
size: 1288, time: 0.017358 s, speed: 246.193330 GFlops
size: 1292, time: 0.017484 s, speed: 246.705021 GFlops
size: 1296, time: 0.018508 s, speed: 235.226641 GFlops
size: 1300, time: 0.023903 s, speed: 183.825287 GFlops
size: 1304, time: 0.015203 s, speed: 291.698032 GFlops
size: 1308, time: 0.015302 s, speed: 292.487057 GFlops
size: 1312, time: 0.017031 s, speed: 265.211600 GFlops
size: 1316, time: 0.020002 s, speed: 227.888017 GFlops
size: 1320, time: 0.019376 s, speed: 237.406236 GFlops
size: 1324, time: 0.019523 s, speed: 237.762960 GFlops
size: 1328, time: 0.017418 s, speed: 268.923178 GFlops
size: 1332, time: 0.019922 s, speed: 237.251704 GFlops
size: 1336, time: 0.019512 s, speed: 244.423891 GFlops
size: 1340, time: 0.017629 s, speed: 272.972549 GFlops
size: 1344, time: 0.019939 s, speed: 243.514939 GFlops
size: 1348, time: 0.018055 s, speed: 271.333296 GFlops
size: 1352, time: 0.019095 s, speed: 258.846133 GFlops
size: 1356, time: 0.020283 s, speed: 245.853967 GFlops
size: 1360, time: 0.019117 s, speed: 263.165976 GFlops
size: 1364, time: 0.020631 s, speed: 246.011988 GFlops
size: 1368, time: 0.019773 s, speed: 258.949800 GFlops
size: 1372, time: 0.019362 s, speed: 266.773523 GFlops
size: 1376, time: 0.018429 s, speed: 282.740604 GFlops
size: 1380, time: 0.017692 s, speed: 297.094075 GFlops
size: 1384, time: 0.019066 s, speed: 278.084322 GFlops
size: 1388, time: 0.023915 s, speed: 223.628452 GFlops
size: 1392, time: 0.017562 s, speed: 307.167945 GFlops
size: 1396, time: 0.018433 s, speed: 295.180737 GFlops
size: 1400, time: 0.023062 s, speed: 237.967314 GFlops
size: 1404, time: 0.020784 s, speed: 266.320287 GFlops
size: 1408, time: 0.019444 s, speed: 287.112829 GFlops
size: 1412, time: 0.023769 s, speed: 236.878132 GFlops
size: 1416, time: 0.021278 s, speed: 266.864558 GFlops
size: 1420, time: 0.023276 s, speed: 246.028257 GFlops
size: 1424, time: 0.019372 s, speed: 298.116359 GFlops
size: 1428, time: 0.024288 s, speed: 239.783718 GFlops
size: 1432, time: 0.024472 s, speed: 239.988050 GFlops
size: 1436, time: 0.022844 s, speed: 259.253273 GFlops
size: 1440, time: 0.022695 s, speed: 263.139503 GFlops
size: 1444, time: 0.020183 s, speed: 298.365859 GFlops
size: 1448, time: 0.023243 s, speed: 261.242857 GFlops
size: 1452, time: 0.022022 s, speed: 278.017998 GFlops
size: 1456, time: 0.019461 s, speed: 317.212893 GFlops
size: 1460, time: 0.020345 s, speed: 305.936612 GFlops
size: 1464, time: 0.022731 s, speed: 276.079035 GFlops
size: 1468, time: 0.019279 s, speed: 328.188673 GFlops
size: 1472, time: 0.017954 s, speed: 355.300063 GFlops
size: 1476, time: 0.022137 s, speed: 290.513999 GFlops
size: 1480, time: 0.026515 s, speed: 244.525072 GFlops
size: 1484, time: 0.025190 s, speed: 259.481058 GFlops
size: 1488, time: 0.022428 s, speed: 293.797131 GFlops
size: 1492, time: 0.023753 s, speed: 279.652893 GFlops
size: 1496, time: 0.023261 s, speed: 287.869122 GFlops
size: 1500, time: 0.022916 s, speed: 294.553014 GFlops
size: 1504, time: 0.051090 s, speed: 133.179563 GFlops
size: 1508, time: 0.037211 s, speed: 184.316139 GFlops
size: 1512, time: 0.023361 s, speed: 295.930760 GFlops
size: 1516, time: 0.024801 s, speed: 280.968821 GFlops
size: 1520, time: 0.024882 s, speed: 282.276101 GFlops
size: 1524, time: 0.026235 s, speed: 269.837381 GFlops
size: 1528, time: 0.023976 s, speed: 297.592336 GFlops
size: 1532, time: 0.024569 s, speed: 292.696952 GFlops
size: 1536, time: 0.027793 s, speed: 260.777009 GFlops
size: 1540, time: 0.026449 s, speed: 276.174436 GFlops
size: 1544, time: 0.025907 s, speed: 284.154209 GFlops
size: 1548, time: 0.026131 s, speed: 283.914944 GFlops
size: 1552, time: 0.023197 s, speed: 322.307243 GFlops
size: 1556, time: 0.025598 s, speed: 294.341775 GFlops
size: 1560, time: 0.024747 s, speed: 306.819585 GFlops
size: 1564, time: 0.024808 s, speed: 308.422136 GFlops
size: 1568, time: 0.025062 s, speed: 307.645797 GFlops
size: 1572, time: 0.025562 s, speed: 303.942881 GFlops
size: 1576, time: 0.028583 s, speed: 273.898762 GFlops
size: 1580, time: 0.026142 s, speed: 301.759149 GFlops
size: 1584, time: 0.023479 s, speed: 338.544850 GFlops
size: 1588, time: 0.025520 s, speed: 313.833537 GFlops
size: 1592, time: 0.026628 s, speed: 303.054232 GFlops
size: 1596, time: 0.030496 s, speed: 266.614682 GFlops
size: 1600, time: 0.026511 s, speed: 309.004347 GFlops
size: 1604, time: 0.025948 s, speed: 318.081493 GFlops
size: 1608, time: 0.031562 s, speed: 263.466654 GFlops
size: 1612, time: 0.031040 s, speed: 269.900724 GFlops
size: 1616, time: 0.028792 s, speed: 293.145798 GFlops
size: 1620, time: 0.027453 s, speed: 309.732008 GFlops
size: 1624, time: 0.031819 s, speed: 269.215530 GFlops
size: 1628, time: 0.029693 s, speed: 290.630208 GFlops
size: 1632, time: 0.025635 s, speed: 339.122862 GFlops
size: 1636, time: 0.029891 s, speed: 292.980856 GFlops
size: 1640, time: 0.028653 s, speed: 307.888068 GFlops
size: 1644, time: 0.028386 s, speed: 313.063985 GFlops
size: 1648, time: 0.030441 s, speed: 294.066431 GFlops
size: 1652, time: 0.028628 s, speed: 314.968726 GFlops
size: 1656, time: 0.032238 s, speed: 281.736304 GFlops
size: 1660, time: 0.030239 s, speed: 302.544142 GFlops
size: 1664, time: 0.026880 s, speed: 342.815365 GFlops
size: 1668, time: 0.031962 s, speed: 290.392438 GFlops
size: 1672, time: 0.051798 s, speed: 180.479110 GFlops
size: 1676, time: 0.029306 s, speed: 321.289445 GFlops
size: 1680, time: 0.027368 s, speed: 346.508338 GFlops
size: 1684, time: 0.030138 s, speed: 316.914129 GFlops
size: 1688, time: 0.030037 s, speed: 320.251988 GFlops
size: 1692, time: 0.033346 s, speed: 290.528095 GFlops
size: 1696, time: 0.032694 s, speed: 298.429191 GFlops
size: 1700, time: 0.033810 s, speed: 290.622883 GFlops
size: 1704, time: 0.034240 s, speed: 289.004708 GFlops
size: 1708, time: 0.033507 s, speed: 297.412851 GFlops
size: 1712, time: 0.027627 s, speed: 363.251726 GFlops
size: 1716, time: 0.031062 s, speed: 325.352389 GFlops
size: 1720, time: 0.035356 s, speed: 287.842283 GFlops
size: 1724, time: 0.036060 s, speed: 284.194007 GFlops
size: 1728, time: 0.032886 s, speed: 313.797720 GFlops
size: 1732, time: 0.034301 s, speed: 302.946778 GFlops
size: 1736, time: 0.035642 s, speed: 293.574416 GFlops
size: 1740, time: 0.033924 s, speed: 310.577057 GFlops
size: 1744, time: 0.031670 s, speed: 334.983458 GFlops
size: 1748, time: 0.032958 s, speed: 324.110445 GFlops
size: 1752, time: 0.032972 s, speed: 326.201330 GFlops
size: 1756, time: 0.033033 s, speed: 327.833832 GFlops
size: 1760, time: 0.031728 s, speed: 343.656768 GFlops
size: 1764, time: 0.035063 s, speed: 313.097261 GFlops
size: 1768, time: 0.034957 s, speed: 316.184448 GFlops
size: 1772, time: 0.038201 s, speed: 291.305083 GFlops
size: 1776, time: 0.034683 s, speed: 323.029630 GFlops
size: 1780, time: 0.036113 s, speed: 312.338952 GFlops
size: 1784, time: 0.035681 s, speed: 318.256597 GFlops
size: 1788, time: 0.035659 s, speed: 320.599225 GFlops
size: 1792, time: 0.033916 s, speed: 339.343417 GFlops
size: 1796, time: 0.038325 s, speed: 302.319403 GFlops
size: 1800, time: 0.037851 s, speed: 308.154888 GFlops
size: 1804, time: 0.035480 s, speed: 330.944913 GFlops
size: 1808, time: 0.048056 s, speed: 245.968037 GFlops
size: 1812, time: 0.036787 s, speed: 323.451979 GFlops
size: 1816, time: 0.035409 s, speed: 338.270550 GFlops
size: 1820, time: 0.037029 s, speed: 325.613084 GFlops
size: 1824, time: 0.031210 s, speed: 388.876308 GFlops
size: 1828, time: 0.038819 s, speed: 314.712064 GFlops
size: 1832, time: 0.041687 s, speed: 294.988876 GFlops
size: 1836, time: 0.036134 s, speed: 342.556278 GFlops
